paper_id,sequence_number,status,error_code,stage_path,canonical_path,staged_primary_artifact_count,stage_structure_status,stage_hash_status,identity_binding_status,provenance_status,source_body_binding_status,duplicate_id_status,duplicate_path_status,promoted,post_promotion_status,registry_registered,started_at,finished_at
CUMCM-2004-A-003,64,PROMOTED,,catalog/scale/g8_q3_formal_artifact_stage/20260903T071531890631_0e2ef355/CUMCM-2004-A-003,derived/scale/papers/CUMCM-2004-A-003,3,PASS,PASS,PASS,PASS,PASS,PASS,PASS,1,PASS,1,2026-09-03T07:15:35.342+00:00,2026-09-03T07:15:37.763+00:00
CUMCM-2004-A-004,65,PROMOTED,,catalog/scale/g8_q3_formal_artifact_stage/20260903T071531890631_0e2ef355/CUMCM-2004-A-004,derived/scale/papers/CUMCM-2004-A-004,3,PASS,PASS,PASS,PASS,PASS,PASS,PASS,1,PASS,1,2026-09-03T07:15:35.369+00:00,2026-09-03T07:15:37.774+00:00
CUMCM-2004-A-005,66,PROMOTED,,catalog/scale/g8_q3_formal_artifact_stage/20260903T071531890631_0e2ef355/CUMCM-2004-A-005,derived/scale/papers/CUMCM-2004-A-005,3,PASS,PASS,PASS,PASS,PASS,PASS,PASS,1,PASS,1,2026-09-03T07:15:35.396+00:00,2026-09-03T07:15:37.784+00:00
CUMCM-2004-B-002,67,PROMOTED,,catalog/scale/g8_q3_formal_artifact_stage/20260903T071531890631_0e2ef355/CUMCM-2004-B-002,derived/scale/papers/CUMCM-2004-B-002,3,PASS,PASS,PASS,PASS,PASS,PASS,PASS,1,PASS,1,2026-09-03T07:15:35.423+00:00,2026-09-03T07:15:37.795+00:00
CUMCM-2004-B-003,68,PROMOTED,,catalog/scale/g8_q3_formal_artifact_stage/20260903T071531890631_0e2ef355/CUMCM-2004-B-003,derived/scale/papers/CUMCM-2004-B-003,3,PASS,PASS,PASS,PASS,PASS,PASS,PASS,1,PASS,1,2026-09-03T07:15:35.448+00:00,2026-09-03T07:15:37.806+00:00
CUMCM-2004-B-004,69,PROMOTED,,catalog/scale/g8_q3_formal_artifact_stage/20260903T071531890631_0e2ef355/CUMCM-2004-B-004,derived/scale/papers/CUMCM-2004-B-004,3,PASS,PASS,PASS,PASS,PASS,PASS,PASS,1,PASS,1,2026-09-03T07:15:35.474+00:00,2026-09-03T07:15:37.816+00:00
CUMCM-2004-B-005,70,PROMOTED,,catalog/scale/g8_q3_formal_artifact_stage/20260903T071531890631_0e2ef355/CUMCM-2004-B-005,derived/scale/papers/CUMCM-2004-B-005,3,PASS,PASS,PASS,PASS,PASS,PASS,PASS,1,PASS,1,2026-09-03T07:15:35.501+00:00,2026-09-03T07:15:37.827+00:00
CUMCM-2004-B-006,71,PROMOTED,,catalog/scale/g8_q3_formal_artifact_stage/20260903T071531890631_0e2ef355/CUMCM-2004-B-006,derived/scale/papers/CUMCM-2004-B-006,3,PASS,PASS,PASS,PASS,PASS,PASS,PASS,1,PASS,1,2026-09-03T07:15:35.527+00:00,2026-09-03T07:15:37.837+00:00
CUMCM-2004-B-007,72,PROMOTED,,catalog/scale/g8_q3_formal_artifact_stage/20260903T071531890631_0e2ef355/CUMCM-2004-B-007,derived/scale/papers/CUMCM-2004-B-007,3,PASS,PASS,PASS,PASS,PASS,PASS,PASS,1,PASS,1,2026-09-03T07:15:35.552+00:00,2026-09-03T07:15:37.848+00:00
CUMCM-2007-A-005,73,PROMOTED,,catalog/scale/g8_q3_formal_artifact_stage/20260903T071531890631_0e2ef355/CUMCM-2007-A-005,derived/scale/papers/CUMCM-2007-A-005,3,PASS,PASS,PASS,PASS,PASS,PASS,PASS,1,PASS,1,2026-09-03T07:15:35.579+00:00,2026-09-03T07:15:37.858+00:00
CUMCM-2007-A-008,74,PROMOTED,,catalog/scale/g8_q3_formal_artifact_stage/20260903T071531890631_0e2ef355/CUMCM-2007-A-008,derived/scale/papers/CUMCM-2007-A-008,3,PASS,PASS,PASS,PASS,PASS,PASS,PASS,1,PASS,1,2026-09-03T07:15:35.606+00:00,2026-09-03T07:15:37.868+00:00
CUMCM-2007-A-009,75,PROMOTED,,catalog/scale/g8_q3_formal_artifact_stage/20260903T071531890631_0e2ef355/CUMCM-2007-A-009,derived/scale/papers/CUMCM-2007-A-009,3,PASS,PASS,PASS,PASS,PASS,PASS,PASS,1,PASS,1,2026-09-03T07:15:35.633+00:00,2026-09-03T07:15:37.878+00:00
CUMCM-2007-A-012,76,PROMOTED,,catalog/scale/g8_q3_formal_artifact_stage/20260903T071531890631_0e2ef355/CUMCM-2007-A-012,derived/scale/papers/CUMCM-2007-A-012,3,PASS,PASS,PASS,PASS,PASS,PASS,PASS,1,PASS,1,2026-09-03T07:15:35.658+00:00,2026-09-03T07:15:37.889+00:00
CUMCM-2007-A-015,77,PROMOTED,,catalog/scale/g8_q3_formal_artifact_stage/20260903T071531890631_0e2ef355/CUMCM-2007-A-015,derived/scale/papers/CUMCM-2007-A-015,3,PASS,PASS,PASS,PASS,PASS,PASS,PASS,1,PASS,1,2026-09-03T07:15:35.683+00:00,2026-09-03T07:15:37.899+00:00
