paper_id,attempt,logical_page_number,page_class,text_layer_present,ocr_route_required,text_chars,text_sha256,rendered_for_classification,nonwhite_ratio
CUMCM-2013-D-001,PRIMARY,20,TEXT_PAGE,1,0,655,D17CC03A254F43AB27C6D6FAF93DE0C6C925B55C02E57B684F82B3B49875FDE3,0,
CUMCM-2013-D-001,PRIMARY,21,TEXT_PAGE,1,0,725,5506BA49C567F2215D3CC8A3F6DCA7D5E069D536786601332F5F2921A307A638,0,
CUMCM-2013-D-001,PRIMARY,22,TEXT_PAGE,1,0,854,0F54E1C53103A30415048FE36E629A493BDFCED5D759132B0AD5267101163050,0,
CUMCM-2013-D-001,PRIMARY,23,TEXT_PAGE,1,0,1084,E7F41EE36BB53E758B39964A1A0AE73E0848363FADE460AC3805BD12E43C736A,0,
CUMCM-2013-D-001,PRIMARY,24,TEXT_PAGE,1,0,1047,DB43CE1B95E193408C90930DB56330AF38E3F640F191DEB7F69D388562CF2539,0,
CUMCM-2013-D-001,PRIMARY,25,TEXT_PAGE,1,0,808,94968604CEB74019C0462A930B234D9F6F89E5B753FCCCE6D86E0EA3EF6A45C8,0,
CUMCM-2013-D-001,PRIMARY,26,TEXT_PAGE,1,0,1304,1AD98D7B8DFD1947151281710BEADAAFFB4B2587E2E81BB3595B23BE785DF720,0,
CUMCM-2013-D-001,PRIMARY,27,TEXT_PAGE,1,0,1958,63F12DAE2CE3C6873702A99737459BC149B2EA1B31D8B2499620204D505D8B01,0,
CUMCM-2013-D-001,PRIMARY,28,TEXT_PAGE,1,0,1861,18E73FEF75973B027CBDC4B1CD733C8B823FE2ABCA8A8256A6AFC83ADB183B5A,0,
CUMCM-2013-D-001,PRIMARY,29,TEXT_PAGE,1,0,1873,D7AA9D0F26557A29D82F4E582DE55119378BC96414DA5CBE14319BC1C397791E,0,
CUMCM-2013-D-001,PRIMARY,30,TEXT_PAGE,1,0,1814,A3FC095DA571898388CF92C852D135B97A80768EFF7151806C735CB5A7C780B7,0,
CUMCM-2013-D-001,PRIMARY,31,TEXT_PAGE,1,0,1895,40340D467B6B347FBE4B552B11292DFCC93262FDADC0FD238148AB09DA225AB3,0,
CUMCM-2013-D-001,PRIMARY,32,TEXT_PAGE,1,0,1853,09F2CD8F3342D79E9D7C121C978894751280F1CCA5C542A3F0F64DD69FE8ABDB,0,
CUMCM-2013-D-001,PRIMARY,33,TEXT_PAGE,1,0,1861,FC5048A0362FFA7C058FBC21644F6353EAA9CD849363C8DD8FE9175DF6F8A129,0,
CUMCM-2013-D-001,PRIMARY,34,TEXT_PAGE,1,0,1825,21FA17D4C25D385C1895AB76806312B0FECF42397E542677A54B477B18F36B71,0,
CUMCM-2013-D-001,PRIMARY,35,TEXT_PAGE,1,0,1857,BD9D44BFE0893AA2BC5E49148F2263BDF07C493C377167D5A850B7114FB2CAAE,0,
CUMCM-2013-D-001,PRIMARY,36,TEXT_PAGE,1,0,1926,2AB27CF2A03BC714E693791F73CA205CB92FC83E22641AF658DD1D6EFD740217,0,
CUMCM-2013-D-001,PRIMARY,37,TEXT_PAGE,1,0,1834,CF353550BA993822C55283648192F714BFADDDFA9A6C589F4A33B344B7C7A632,0,
CUMCM-2013-D-001,PRIMARY,38,TEXT_PAGE,1,0,1840,28103100FCE684FAF16DFD959195C13B34DCADCB00E610DEE0881884FA9B3563,0,
CUMCM-2013-D-001,PRIMARY,39,TEXT_PAGE,1,0,1849,C6EA7AD526B47BBC46B0C197A88537E3D56BFE88303C48A02EFED66FF6BC111B,0,
CUMCM-2013-D-001,PRIMARY,40,TEXT_PAGE,1,0,1902,76BA3F7DC4E959ADF3550E978DBF8422C51D6C6B958C18D57BC546AB5FF53B7A,0,
CUMCM-2013-D-001,PRIMARY,41,TEXT_PAGE,1,0,1806,36F7FE9C8C043CEAEE0ED9A27C10900FACED002C45FB8C7BF4EFB5EC620DFBDC,0,
CUMCM-2013-D-001,PRIMARY,42,TEXT_PAGE,1,0,1869,FCFF0C47BDA747DCF74767862A864D3E45A6A7B443B2986054E46B3999061363,0,
CUMCM-2013-D-001,PRIMARY,43,TEXT_PAGE,1,0,1230,F3D2A005A315BEF10425C796442317838E623379B6DFC7D2548B2D5A1761A32D,0,
CUMCM-2013-D-001,PRIMARY,44,TEXT_PAGE,1,0,1001,8E170BC702AC443978C29A7FC5BC86D5844937B3BE0F5DC1594C7B726F0680FF,0,
CUMCM-2013-D-001,PRIMARY,45,TEXT_PAGE,1,0,1046,90CB43612FB47E049B943DF7F0DE170EBFB88F953C70EDC52B651B2325774DF5,0,
CUMCM-2013-D-001,PRIMARY,46,TEXT_PAGE,1,0,1095,AA3B73B8654F01B50F7EEE83008863E781F39D59290746389425FEF789B6FCF8,0,
CUMCM-2013-D-001,PRIMARY,47,TEXT_PAGE,1,0,1082,39922A1176445181662DBF89FD71314A259DFB793C24D259EFC0D6E950454B2C,0,
CUMCM-2013-D-001,PRIMARY,48,TEXT_PAGE,1,0,1171,88026C0883EA7FF880C9B8BFB74144B97849FDFFD522ABD018BC170602CBE1F9,0,
CUMCM-2013-D-001,PRIMARY,49,TEXT_PAGE,1,0,1211,DC274C021A225E632AAFD377DBD77253A9F34502340344B561E595C4DF78BB1B,0,
CUMCM-2013-D-001,PRIMARY,50,TEXT_PAGE,1,0,1269,720814E3D148B92D5DA7FA0CEE3122069E566E9F9EF1024D5EF94C502BB40CF7,0,
CUMCM-2013-D-001,PRIMARY,51,TEXT_PAGE,1,0,1330,A8A4E379A2824C128082AD11F47A2F360083D41130B8E68528B58658346BB5F6,0,
CUMCM-2013-D-001,PRIMARY,52,TEXT_PAGE,1,0,1856,171629B41A6621AF030A643FFF09B3902B8D8FEE95B7FD26939BDDF1D48C52D8,0,
