batch_attempt_id,paper_id,sequence_number,status,error_code,primary_error_code,cleanup_error_code,source_gate_status,page_count,ocr_required,ocr_completed,body_quality_status,content_sanity_status,provenance_status,persistence_status,reused,started_at,finished_at
20260902T181812821882_f3ed3664,CUMCM-2019-B-002,108,PASS,,,,PASS,27,27,27,USABLE,PASS,PASS,REUSED,1,2026-09-02T18:18:21.872840+00:00,2026-09-02T18:18:21.894630+00:00
20260902T181812821882_f3ed3664,CUMCM-2019-B-004,109,PASS,,,,PASS,32,32,32,USABLE,PASS,PASS,REUSED,1,2026-09-02T18:18:21.913867+00:00,2026-09-02T18:18:21.945118+00:00
20260902T181812821882_f3ed3664,CUMCM-2019-C-001,110,PASS,,,,PASS,39,39,39,USABLE,PASS,PASS,REUSED,1,2026-09-02T18:18:21.965355+00:00,2026-09-02T18:18:21.998345+00:00
20260902T181812821882_f3ed3664,CUMCM-2019-C-002,111,PASS,,,,PASS,39,39,39,USABLE,PASS,PASS,REUSED,1,2026-09-02T18:18:22.019364+00:00,2026-09-02T18:18:22.060267+00:00
20260902T181812821882_f3ed3664,CUMCM-2019-C-004,112,PASS,,,,PASS,30,30,30,USABLE,PASS,PASS,REUSED,1,2026-09-02T18:18:22.080874+00:00,2026-09-02T18:18:22.111160+00:00
20260902T181812821882_f3ed3664,CUMCM-2019-E-001,113,PASS,,,,PASS,37,37,37,USABLE,PASS,PASS,REUSED,1,2026-09-02T18:18:22.131761+00:00,2026-09-02T18:18:22.159599+00:00
20260902T181812821882_f3ed3664,CUMCM-2019-E-002,114,PASS,,,,PASS,23,23,23,USABLE,PASS,PASS,REUSED,1,2026-09-02T18:18:22.179852+00:00,2026-09-02T18:18:22.198738+00:00
20260902T181812821882_f3ed3664,CUMCM-2019-E-004,115,PASS,,,,PASS,20,20,20,USABLE,PASS,PASS,REUSED,1,2026-09-02T18:18:22.217372+00:00,2026-09-02T18:18:22.234753+00:00
20260902T181812821882_f3ed3664,CUMCM-2020-A-001,116,PASS,,,,PASS,26,26,26,USABLE,PASS,PASS,REUSED,1,2026-09-02T18:18:22.255216+00:00,2026-09-02T18:18:22.277496+00:00
20260902T181812821882_f3ed3664,CUMCM-2020-A-002,117,PASS,,,,PASS,89,89,89,USABLE,PASS,PASS,REUSED,1,2026-09-02T18:18:22.298996+00:00,2026-09-02T18:18:22.355717+00:00
20260902T181812821882_f3ed3664,CUMCM-2020-A-004,118,PASS,,,,PASS,42,42,42,USABLE,PASS,PASS,REUSED,1,2026-09-02T18:18:22.376155+00:00,2026-09-02T18:18:22.409660+00:00
20260902T181812821882_f3ed3664,CUMCM-2020-B-001,119,PASS,,,,PASS,39,39,39,USABLE,PASS,PASS,REUSED,1,2026-09-02T18:18:22.432429+00:00,2026-09-02T18:18:22.471248+00:00
20260902T181812821882_f3ed3664,CUMCM-2020-B-002,120,PASS,,,,PASS,104,104,104,USABLE,PASS,PASS,REUSED,1,2026-09-02T18:18:22.493406+00:00,2026-09-02T18:18:22.586568+00:00
20260902T181812821882_f3ed3664,CUMCM-2020-B-004,121,PASS,,,,PASS,34,34,34,USABLE,PASS,PASS,REUSED,1,2026-09-02T18:18:22.608758+00:00,2026-09-02T18:18:22.635105+00:00
20260902T181812821882_f3ed3664,CUMCM-2020-B-005,122,PASS,,,,PASS,50,50,50,USABLE,PASS,PASS,WRITTEN,0,2026-09-02T18:18:22.658501+00:00,2026-09-02T18:20:52.737870+00:00
20260902T181812821882_f3ed3664,CUMCM-2020-C-001,123,PASS,,,,PASS,35,35,35,USABLE,PASS,PASS,WRITTEN,0,2026-09-02T18:20:52.777781+00:00,2026-09-02T18:22:26.149063+00:00
20260902T181812821882_f3ed3664,CUMCM-2020-C-002,124,PASS,,,,PASS,45,45,45,USABLE,PASS,PASS,WRITTEN,0,2026-09-02T18:22:26.186807+00:00,2026-09-02T18:24:31.135270+00:00
