"paper_id","logical_page_number","page_class","text_layer_present","ocr_route_required","text_chars","text_sha256","rendered_for_classification","nonwhite_ratio"
"CUMCM-2014-D-003","4","TEXT_PAGE","1","0","1025","4BB8FEB6B8411DE151F5B755F9523956221B250C7143BCE95CA4EA398C3F2858","0",""
"CUMCM-2014-D-003","5","TEXT_PAGE","1","0","523","C07D67E885E14DC0EB5827FEDB6DDE4F0AA3FF9CC37D55296801158F72ADCED8","0",""
"CUMCM-2014-D-003","6","TEXT_PAGE","1","0","984","052BC4FE317C48CE849DE44DC37736221C87ED085DBA3F61553F6BFE2AC07C72","0",""
"CUMCM-2014-D-003","7","TEXT_PAGE","1","0","543","FF065776122F0A345E3D647909EF4E9339413448802DC94A5E7E17CEA76C391B","0",""
"CUMCM-2014-D-003","8","TEXT_PAGE","1","0","938","2D7B10AB7D674FF2D9D8BD2D9EF73BC08CEE6A2021FDBFA8B6D9C7D188724B8D","0",""
"CUMCM-2014-D-003","9","TEXT_PAGE","1","0","1098","6AA45CF62F16390F816F06903BBD93F8B5D72579763B56A45DF11235348A4EF2","0",""
"CUMCM-2014-D-003","10","TEXT_PAGE","1","0","758","5DDD4B175ECDF23739D2716F60FEA242E21924C8C41FDA9DCC766F8C39DAF810","0",""
"CUMCM-2014-D-003","11","TEXT_PAGE","1","0","1048","A03F9F93330EDD135B301A42B82D9DB8B5AC04D4CB93935214B9201855780100","0",""
"CUMCM-2014-D-003","12","TEXT_PAGE","1","0","896","BCCD938364C51BCDD53795E529EDBECF676A95274118028F38C7EE897047EADE","0",""
"CUMCM-2014-D-003","13","TEXT_PAGE","1","0","1441","2146C93D4C03F7472C97D8B73ABA9C4F252971534EC5E101AEB8785757EDC9F2","0",""
"CUMCM-2014-D-003","14","TEXT_PAGE","1","0","2655","84008E7290DD2E92AE07126BD0BD88261BE40D00AF7973B379FD95530AA2D457","0",""
"CUMCM-2014-D-003","15","TEXT_PAGE","1","0","2637","1EA8F292BD046BCBAC277D6FFCDFF613BAF205B845251E15827F163ABF49B88F","0",""
"CUMCM-2014-D-003","16","TEXT_PAGE","1","0","2277","C0FD8878E73E519BCC1D47D27880DAB86479388C5CAB26A5BE039CC9C2FD37A3","0",""
"CUMCM-2014-D-003","17","TEXT_PAGE","1","0","1013","54BC983CA73D6048153116457C130C5286332374570C894BE9D6FD3A56405099","0",""
"CUMCM-2014-D-003","18","TEXT_PAGE","1","0","755","75F398B999A27DAF5374418A291DCA5C46281337162B7386D2B9BC68624B51FF","0",""
"CUMCM-2014-D-003","19","TEXT_PAGE","1","0","854","3366639042E3AA140640A977D75D6BD9E2B0208EA062DBBB579681368B634552","0",""
"CUMCM-2014-D-003","20","TEXT_PAGE","1","0","1622","0E5D9BEDD058D9C2F467148CE6D72C06A3409718578205A49F029B9BD8D3BE20","0",""
"CUMCM-2014-D-003","21","TEXT_PAGE","1","0","1622","7B071A71952DF392194FD51D176009E14FD00E91A011FA776FEE1F75BE2EE122","0",""
"CUMCM-2014-D-003","22","TEXT_PAGE","1","0","1288","9103C621CD2682E9A26CE5985BF7B9FE97F803A5D7013212EC33FBEE65393148","0",""
"CUMCM-2014-D-003","23","TEXT_PAGE","1","0","951","71409BD7477953FE4705341ACDB32995835D2BFB08222B7837B1CB67C4C091E8","0",""
"CUMCM-2014-D-003","24","TEXT_PAGE","1","0","805","E3E518985662CEA1A2C535310BEDF56DBD52D9771DC21B1D87291A0A02BBAD68","0",""
"CUMCM-2014-D-003","25","TEXT_PAGE","1","0","640","F70CF444D589BF0D3677A9415A20AAF52DB609A5421075638FFFB4B22F840560","0",""
"CUMCM-2014-D-003","26","TEXT_PAGE","1","0","829","491165F4605B995CC9E0089AA2F01C632674D9AF5BD77B71241DB8FBE1985B31","0",""
"CUMCM-2014-D-003","27","TEXT_PAGE","1","0","721","BC0946F316C77004818CEFA18C2507AA0027AD36330E2582212812AAB4F6727E","0",""
"CUMCM-2014-D-003","28","TEXT_PAGE","1","0","755","7270BE8831DD50A62B8498BFEA44A25DF774B6250DE2ABF857454CA7807F43A8","0",""
"CUMCM-2014-D-003","29","TEXT_PAGE","1","0","915","BC6E85D7FEED4F895E89503CDAC0E0058645BD4F5562373F35CC438D21514B21","0",""
"CUMCM-2014-D-003","30","TEXT_PAGE","1","0","775","6870D5DEA30B2121A7F448EFB94D5E93F6BCC05539F391A2EA49EB9F97A4E9CD","0",""
"CUMCM-2014-D-003","31","TEXT_PAGE","1","0","753","D560B810A6535889DF0E8BD09A2D77839B7CD355F8347425987D7C43DDD27A64","0",""
"CUMCM-2014-D-003","32","TEXT_PAGE","1","0","1031","6D557933042F1F368829A4FD5A77950DCF9D1CE63527916BA715DFAA488CBA25","0",""
"CUMCM-2014-D-003","33","TEXT_PAGE","1","0","718","92EF5702102197D811A965E0B5EAD73F166D264E6E90FC5E15EC6818E1D790B9","0",""
